Code,"Scientific Name","Common Name","Last Update","# of Sequences","NCBI TaxonId",D.
NANST,"Nanobsidianus stetteri",,2019-Aug-14,647,1294122,A
MYCPK,"Mycoplasma putrefaciens  (strain ATCC 15718 / NCTC 10155 / C30 KS-1 / KS-1)",,2013-Dec-17,650,743965,B
MYCWM,"Mycoplasma wenyonii  (strain Massachusetts)",,2017-Nov-07,652,1197325,B
MYCHH,"Mycoplasma hyorhinis  (strain HUB-1)",,2012-Nov-13,655,872331,B
MYCHJ,"Mycoplasma hyopneumoniae  (strain J / ATCC 25934 / NCTC 10110)",,2014-Mar-24,671,262719,B
MYCS5,"Mycoplasma synoviae  (strain 53)",,2014-Mar-24,679,262723,B
AYWBP,"Aster yellows witches'-broom phytoplasma  (strain AYWB)",,2006-May-31,681,322098,B
MESFL,"Mesoplasma florum  (strain ATCC 33453 / NBRC 100688 / NCTC 11704 / L1)",,2010-Mar-21,683,265311,B
MYCPN,"Mycoplasma pneumoniae  (strain ATCC 29342 / M129)",,2009-Sep-16,686,272634,B
MYCH1,"Mycoplasma hyopneumoniae  (strain 168)",,2015-Jun-17,686,907287,B
MYCH2,"Mycoplasma hyopneumoniae  (strain 232)",,2014-Mar-24,689,295358,B
MYCCM,"Mycoplasma crocodyli  (strain ATCC 51981 / MP145)",,2011-Sep-23,689,512564,B
MYCH7,"Mycoplasma hyopneumoniae  (strain 7448)",,2014-Mar-24,694,262722,B
MYCCR,"Mycoplasma conjunctivae  (strain ATCC 25834 / HRC/581 / NCTC 10147)",,2009-Dec-15,694,572263,B
ONYPE,"Onion yellows phytoplasma  (strain OY-M)",,2010-Mar-21,726,262768,B
MYCGA,"Mycoplasma gallisepticum  (strain R(low / passage 15 / clone 2))",,2007-Sep-26,726,710127,B
MYCGF,"Mycoplasma gallisepticum  (strain F)",,2014-Jan-25,737,708616,B
MYCBG,"Mycoplasma bovis  (strain ATCC 25523 / DSM 22781 / NCTC 10131 / PG45)",,2011-Sep-23,742,289397,B
MYCAP,"Mycoplasma agalactiae  (strain PG2)",,2008-Jul-13,748,347257,B
MYCGH,"Mycoplasma gallisepticum  (strain R(high / passage 156))",,2010-Jul-11,763,710128,B
MYCA6,"Mycoplasma agalactiae  (strain 5632)",,2013-Aug-19,766,347258,B
UNCTG,"Uncultured termite group 1 bacterium phylotype Rs-D17",,2008-Jul-13,767,1408204,B
MYCHM,"Mycoplasma hyorhinis  (strain MCLD)",,2012-Nov-13,774,936139,B
MYCPU,"Mycoplasma pulmonis  (strain UAB CTIP)",,2010-Mar-21,778,272635,B
PHYAS,"Phytoplasma australiense",,2009-Feb-18,780,59748,B
TROW8,"Tropheryma whipplei  (strain TW08/27)","Whipple's bacillus",2014-Mar-24,782,218496,B
MYCBH,"Mycoplasma bovis  (strain Hubei-1)",,2013-Oct-03,790,956483,B
MYCFJ,"Mycoplasma fermentans  (strain JER)",,2014-Nov-05,794,637387,B
WOLTR,"Wolbachia sp.  subsp. Brugia malayi (strain TRS)",,2014-Mar-24,805,292805,B
TROWT,"Tropheryma whipplei  (strain Twist)",,2010-Mar-21,805,203267,B
MYCS3,"Mycoplasma suis  (strain KI_3806)",,2013-Dec-19,810,708248,B
MYCCT,"Mycoplasma capricolum  subsp. capricolum (strain California kid / ATCC 27343 / NCTC 10154)",,2014-Mar-24,811,340047,B
BORT9,"Borrelia turicatae  (strain 91E135)",,2009-May-15,818,314724,B
BORHD,"Borrelia hermsii  (strain HS1 / DAH)",,2008-Sep-09,819,314723,B
RICPR,"Rickettsia prowazekii  (strain Madrid E)",,2010-Mar-21,832,272947,B
RICTY,"Rickettsia typhi  (strain ATCC VR-144 / Wilmington)",,2010-Mar-21,837,257363,B
MYCSL,"Mycoplasma suis  (strain Illinois)",,2013-Dec-17,844,768700,B
AZOPC,"Azobacteroides pseudotrichonymphae genomovar. CFP2",,2009-May-15,847,511995,B
WOLPI,"Wolbachia pipientis",,2018-Feb-15,851,955,B
MYCC1,"Mycoplasma cynos  (strain C142)",,2015-Jun-17,870,1246955,B
CHLTD,"Chlamydia trachomatis  serovar D (strain D-EC)",,2011-Apr-10,878,759363,B
CHLTL,"Chlamydia trachomatis  serovar D (strain D-LC)",,2013-Oct-03,878,759364,B
MYCLG,"Mycoplasma leachii  (strain DSM 21131 / NCTC 10133 / N29 / PG50)",,2011-Sep-23,880,880447,B
MYCFP,"Mycoplasma fermentans  (strain ATCC 19989 / NBRC 14854 / NCTC 10117 / PG18)",,2015-Mar-27,889,496833,B
CHLTR,"Chlamydia trachomatis  (strain D/UW-3/Cx)",,2010-Mar-21,895,272561,B
CHLTS,"Chlamydia trachomatis  serovar E (strain Sweden2)",,2014-Nov-05,897,634464,B
CHLTB,"Chlamydia trachomatis  serovar L2b (strain UCH-1/proctitis)",,2008-Jul-13,897,471473,B
NEORI,"Neorickettsia risticii  (strain Illinois)",,2009-Dec-16,898,434131,B
CHLT2,"Chlamydia trachomatis  serovar L2 (strain 434/Bu / ATCC VR-902B)",,2008-Jul-13,898,471472,B
CHLTJ,"Chlamydia trachomatis  serovar B (strain Jali20/OT)",,2010-Feb-12,900,580049,B
MYCL9,"Mycoplasma leachii  (strain 99/014/6)",,2012-Jan-25,902,866629,B
CHLTZ,"Chlamydia trachomatis  serovar B (strain TZ1A828/OT)",,2015-Mar-17,902,672161,B
CHLMU,"Chlamydia muridarum  (strain MoPn / Nigg)",,2014-Mar-24,911,243161,B
CHLTA,"Chlamydia trachomatis  serovar A (strain ATCC VR-571B / DSM 19440 / HAR-13)",,2006-May-31,919,315277,B
CHLTG,"Chlamydia trachomatis  serovar G (strain G/11074)",,2014-Mar-04,919,707187,B
CHLT7,"Chlamydia trachomatis  serovar G (strain G/9768)",,2011-Sep-23,920,707185,B
EHRCJ,"Ehrlichia canis  (strain Jake)",,2014-Mar-24,921,269484,B
CHLT9,"Chlamydia trachomatis  serovar G (strain G/9301)",,2015-Feb-24,921,718219,B
MYCHA,"Mycoplasma haemolamae  (strain Purdue)",,2019-Jan-06,925,1212765,B
CHLT1,"Chlamydia trachomatis  serovar E (strain E/11023)",,2015-Feb-24,926,707183,B
RICPU,"Rickettsia peacockii  (strain Rustic)",,2009-Dec-15,927,562019,B
CHLT5,"Chlamydia trachomatis  serovar E (strain E/150)",,2012-Nov-15,927,707184,B
CHLT0,"Chlamydia trachomatis  serovar G (strain G/11222)",,2011-Oct-02,927,707186,B
NEOSM,"Neorickettsia sennetsu  (strain ATCC VR-367 / Miyayama)",,2014-Mar-24,932,222891,B
ANAMF,"Anaplasma marginale  (strain Florida)",,2014-Jan-25,936,320483,B
VESOH,"Vesicomyosocius okutanii  subsp. Calyptogena okutanii (strain HA)",,2007-Jul-08,938,412965,B
ANAMM,"Anaplasma marginale  (strain St. Maries)",,2014-Mar-24,943,234826,B
EHRRG,"Ehrlichia ruminantium  (strain Gardel)",,2014-Mar-24,949,302409,B
RICPP,"Rickettsia prowazekii  (strain Rp22)",,2012-Nov-13,952,449216,B
MYCFM,"Mycoplasma fermentans  (strain M64)",,2012-Nov-15,954,943945,B
CHLTC,"Chlamydia trachomatis  (strain L2c)",,2012-Nov-13,954,887712,B
CHLAB,"Chlamydia abortus  (strain DSM 27085 / S26/3)",,2014-Mar-24,960,218497,B
CHLP1,"Chlamydophila psittaci  (strain RD1)",,2012-Nov-15,967,929557,B
RICM5,"Rickettsia massiliae  (strain Mtu5)",,2008-Jan-24,969,416276,B
RICJY,"Rickettsia japonica  (strain ATCC VR-1363 / YH)",,2015-Feb-24,970,652620,B
MYCMS,"Mycoplasma mycoides  subsp. mycoides SC (strain PG1)",,2007-Sep-26,975,272632,B
CHLP6,"Chlamydophila psittaci  (strain ATCC VR-125 / 6BC)",,2012-Jan-19,975,331636,B
RUTMC,"Ruthia magnifica  subsp. Calyptogena magnifica",,2007-May-03,976,413404,B
BORRA,"Borrelia recurrentis  (strain A1)",,2009-Jan-19,977,412418,B
TREPC,"Treponema pallidum  subsp. pallidum (strain Chicago)",,2012-Feb-09,981,666714,B
CHLPE,"Chlamydia pecorum  (strain ATCC VR-628 / E58)",,2013-Jan-10,988,331635,B
CHLCV,"Chlamydophila caviae  (strain ATCC VR-813 / DSM 19441 / GPIC)",,2010-Mar-21,1005,227941,B
TREPU,"Treponema paraluiscuniculi  (strain Cuniculi A)",,2014-Nov-05,1009,545776,B
ARCG6,"Archaeon GW2011_AR20",,2018-Mar-27,1010,1579378,A
CHLFF,"Chlamydia felis  (strain Fe/C-56)",,2014-Mar-24,1013,264202,B
TREPA,"Treponema pallidum  (strain Nichols)",,2010-Mar-21,1027,243276,B
TREPS,"Treponema pallidum  subsp. pallidum (strain SS14)",,2008-Sep-09,1028,455434,B
MYCPE,"Mycoplasma penetrans  (strain HF-2)",,2010-Mar-22,1028,272633,B
ARCGX,"Archaeon GW2011_AR5",,2018-Mar-27,1028,1579367,A
WOLWR,"Wolbachia sp.  subsp. Drosophila simulans (strain wRi)",,2009-Jun-25,1033,66084,B
MYCMG,"Mycoplasma mycoides  subsp. mycoides SC (strain Gladysdale)",,2014-Nov-05,1040,865867,B
RICAE,"Rickettsia africae  (strain ESF-5)",,2010-Jan-18,1041,347255,B
LACFC,"Lactobacillus fermentum  (strain CECT 5716)",,2011-Mar-21,1041,712938,B
EHRRW,"Ehrlichia ruminantium  (strain Welgevonden)",,2014-Mar-24,1043,254945,B
CHLPN,"Chlamydia pneumoniae",,2009-Dec-13,1051,115713,B
CHLT4,"Chlamydia trachomatis  serovar A (strain A2497)",,2015-Mar-17,1053,580047,B
TREPM,"Treponema pallidum  subsp. pertenue (strain Samoa D)",,2013-Dec-17,1065,491078,B
TREPD,"Treponema pallidum  subsp. pertenue (strain CDC2)",,2015-Apr-07,1065,491079,B
RICCK,"Rickettsia canadensis  (strain McKiel)",,2008-Jan-24,1091,293613,B
EHRCR,"Ehrlichia chaffeensis  (strain ATCC CRL-10679 / Arkansas)",,2014-Mar-24,1098,205920,B
LIBAP,"Liberibacter asiaticus  (strain psy62)",,2011-Sep-23,1099,537021,B
CHLPP,"Chlamydophila pneumoniae  (strain LPCoLN)",,2010-Feb-24,1105,406984,B
RICS1,"Rickettsia slovaca  (strain 13-B)",,2013-Jan-10,1114,941638,B
WOLPM,"Wolbachia pipientis wMel",,2010-Mar-21,1159,163164,B
MIDMI,"Midichloria mitochondrii  (strain IricVA)",,2013-Oct-03,1175,696127,B
MYCHN,"Mycoplasma haemocanis  (strain Illinois)",,2013-Oct-03,1175,1111676,B
ATETH,"Atelocyanobacterium thalassa  (isolate ALOHA)",,2015-Mar-27,1199,1453429,B
RICMS,"Rickettsia montanensis  (strain OSU 85-930)",,2012-Nov-13,1215,1105114,B
BORBZ,"Borrelia burgdorferi  (strain ZS7)",,2009-May-26,1223,445985,B
BORBN,"Borrelia burgdorferi  (strain N40)",,2012-Jan-19,1233,521007,B
WOLPP,"Wolbachia pipientis  subsp. Culex pipiens (strain wPip)",,2008-Sep-09,1238,570417,B
RICAC,"Rickettsia australis  (strain Cutlack)",,2015-Mar-27,1240,1105110,B
AMOA5,"Amoebophilus asiaticus  (strain 5a2)",,2008-Sep-09,1241,452471,B
BARBK,"Bartonella bacilliformis  (strain ATCC 35685 / NCTC 12138 / KC583)",,2007-Mar-29,1251,360095,B
RICAH,"Rickettsia akari  (strain Hartford)",,2008-Jan-24,1255,293614,B
GARV4,"Gardnerella vaginalis  (strain 409-05)",,2010-May-24,1256,553190,B
LACSM,"Lactobacillus sanfranciscensis  (strain TMW 1.1304)",,2015-Nov-17,1259,714313,B
RICR3,"Rickettsia rhipicephali  (strain 3-7-female6-CWPP)",,2015-Mar-08,1260,1105113,B
BORAP,"Borrelia afzelii  (strain PKo)",,2006-Nov-21,1261,390236,B
BORBP,"Borrelia bavariensis  (strain ATCC BAA-2496 / DSM 23469 / PBi)",,2007-May-13,1268,290434,B
DICNV,"Dichelobacter nodosus  (strain VCS1703A)",,2007-Jul-22,1273,246195,B
METFV,"Methanothermus fervidus  (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)",,2012-Aug-19,1283,523846,A
BORDL,"Borrelia duttonii  (strain Ly)",,2009-Jan-19,1285,412419,B
BARQU,"Bartonella quintana  (strain Toulouse)",,2010-Mar-21,1301,283165,B
ARCG3,"Archaeon GW2011_AR15",,2018-Mar-27,1308,1579373,A
GARVH,"Gardnerella vaginalis  (strain HMP9231)",,2015-Mar-08,1312,1009464,B
RICPT,"Rickettsia parkeri  (strain Portsmouth)",,2012-Nov-15,1318,1105108,B
ANAPZ,"Anaplasma phagocytophilum  (strain HZ)",,2014-Mar-24,1323,212042,B
ARCG5,"Archaeon GW2011_AR10",,2018-Mar-27,1339,1579370,A
RICP3,"Rickettsia philipii  (strain 364D)",,2013-Oct-03,1343,481009,B
LAWIP,"Lawsonia intracellularis  (strain PHE/MN1-00)",,2006-Aug-16,1344,363253,B
RICRS,"Rickettsia rickettsii  (strain Sheila Smith)",,2008-Jan-24,1345,392021,B
DESM0,"Desulfurococcus mucosus  (strain ATCC 35584 / DSM 2162 / JCM 9187 / O7/1)",,2012-Aug-19,1345,765177,A
WEIKK,"Weissella koreensis  (strain KACC 15510)",,2012-Feb-09,1346,1045854,B
ATOPD,"Atopobium parvulum  (strain ATCC 33793 / DSM 20469 / JCM 10300 / VPI 0546)",,2011-Oct-02,1353,521095,B
PELUB,"Pelagibacter ubique  (strain HTCC1062)",,2014-Mar-24,1354,335992,B
CRYCD,"Cryptobacterium curtum  (strain ATCC 700683 / DSM 15641 / 12-3)",,2010-Jan-18,1355,469378,B
DEHMB,"Dehalococcoides mccartyi  (strain ATCC BAA-2100 / JCM 16839 / KCTC 5957 / BAV1)",,2014-Jun-18,1355,216389,B
BARC7,"Bartonella clarridgeiae  (strain CIP 104772 / 73)",,2012-Feb-09,1363,696125,B
GARV3,"Gardnerella vaginalis  (strain ATCC 14019 / 317)",,2014-Jan-25,1364,525284,B
RICCN,"Rickettsia conorii  (strain ATCC VR-613 / Malish 7)",,2009-Sep-16,1374,272944,B
RICAG,"Rickettsia amblyommatis  (strain GAT-30V)",,2014-Nov-05,1377,1105111,B
DEHMG,"Dehalococcoides mccartyi  (strain GT)",,2014-Nov-05,1378,633145,B
ACHLI,"Acholeplasma laidlawii  (strain PG-8A)",,2008-Mar-24,1380,441768,B
RICRO,"Rickettsia rickettsii  (strain Iowa)",,2008-Apr-09,1384,452659,B
FERFK,"Fervidicoccus fontis  (strain DSM 19380 / JCM 18336 / VKM B-2539 / Kam940)",,2014-Mar-02,1384,1163730,A
THEAM,"Thermosphaera aggregans  (strain DSM 11486 / M11TL)",,2010-Dec-22,1387,633148,A
FRATM,"Francisella tularensis  subsp. mediasiatica (strain FSC147)",,2008-Sep-09,1387,441952,B
RICBR,"Rickettsia bellii  (strain RML369-C)",,2014-Mar-24,1399,336407,B
NANSJ,"Nanosalinarum sp.  (strain J07AB56)",,2014-Oct-29,1402,889962,A
HELP5,"Helicobacter pylori  (strain 52)",,2011-May-30,1403,684950,B
HELP1,"Helicobacter pylori  (strain 51)",,2014-Nov-05,1411,290847,B
CREAS,"Crenarchaeota archaeon SCGC AAA471-B05",,2014-Oct-29,1413,1052801,A
THEC1,"Thermogladius calderae  (strain DSM 22663 / VKM B-2946 / 1633)",,2013-Oct-03,1414,1184251,A
RALSL,"Ralstonia solanacearum",,2012-Jan-25,1416,305,B
STRM9,"Streptobacillus moniliformis  (strain ATCC 14647 / DSM 12112 / NCTC 10651 / 9901)",,2010-Jun-14,1423,519441,B
BARVW,"Bartonella vinsonii  subsp. berkhoffii (strain Winnie)",,2013-Aug-19,1423,1094497,B
DEHMV,"Dehalococcoides mccartyi  (strain VS)",,2014-Jun-18,1426,311424,B
HELM1,"Helicobacter mustelae  (strain ATCC 43772 / LMG 18044 / NCTC 12198 / 12198)",,2012-Jan-19,1427,679897,B
RICFE,"Rickettsia felis  (strain ATCC VR-1525 / URRWXCal2)",,2014-Mar-24,1428,315456,B
IGNH4,"Ignicoccus hospitalis  (strain KIN4/I / DSM 18386 / JCM 14125)",,2007-Dec-09,1434,453591,A
METIM,"Methanocaldococcus infernus  (strain DSM 11812 / JCM 15783 / ME)",,2010-Dec-22,1439,573063,A
RICB8,"Rickettsia bellii  (strain OSU 85-389)",,2008-Jan-21,1441,391896,B
PELSM,"Pelagibacter sp.  (strain IMCC9063)",,2013-Dec-17,1447,1002672,B
DEHMC,"Dehalococcoides mccartyi  (strain CBDB1)",,2014-Jun-18,1454,255470,B
WEIVI,"Weissella viridescens",,2018-Feb-15,1462,1629,B
HELPF,"Helicobacter pylori  (strain 35A)",,2011-Sep-23,1464,585535,B
BORCA,"Borrelia crocidurae  (strain Achema)",,2014-Oct-02,1468,1155096,B
DESA1,"Desulfurococcus amylolyticus  (strain DSM 18924 / JCM 16383 / VKM B-2413 / 1221n)",,2009-Jun-21,1470,490899,A
CALLD,"Caldisphaera lagunensis  (strain DSM 15908 / JCM 11604 / ANMR 0165 / IC-154)",,2013-Dec-17,1477,1056495,A
HELPK,"Helicobacter pylori  (strain F30)",,2013-May-28,1480,866345,B
THEAC,"Thermoplasma acidophilum  (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)",,2009-Sep-16,1481,273075,A
COPPD,"Coprothermobacter proteolyticus  (strain ATCC 35245 / DSM 5265 / BT)",,2009-Jan-19,1481,309798,B
HELPI,"Helicobacter pylori  (strain F16)",,2014-Nov-05,1486,866344,B
HELPJ,"Helicobacter pylori  (strain J99 / ATCC 700824)",,2014-Mar-24,1488,85963,B
HELPL,"Helicobacter pylori  (strain F32)",,2015-Jun-17,1489,102608,B
META3,"Methanococcus aeolicus  (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3)",,2007-Oct-25,1490,419665,A
DESTD,"Desulfurobacterium thermolithotrophum  (strain DSM 11699 / BSA)",,2014-Jan-25,1495,868864,B
ACIS0,"Aciduliprofundum sp.  (strain MAR08-339)",,2014-Oct-26,1497,673860,A
ACIS3,"Acidilobus saccharovorans  (strain DSM 16705 / JCM 18335 / VKM B-2471 / 345-15)",,2010-Dec-22,1499,666510,A
HELPG,"Helicobacter pylori  (strain G27)",,2009-Jan-19,1500,563041,B
DEHM1,"Dehalococcoides mccartyi  (strain ATCC BAA-2266 / KCTC 15142 / 195)",,2014-Jun-18,1502,243164,B
FRATO,"Francisella tularensis  subsp. holarctica (strain OSU18)",,2006-Nov-21,1506,393011,B
POLNS,"Polynucleobacter necessarius  subsp. necessarius (strain STIR1)",,2008-Sep-09,1507,452638,B
FRATF,"Francisella tularensis  subsp. holarctica (strain FTNF002-00 / FTA)",,2008-Nov-06,1508,458234,B
HELPB,"Helicobacter pylori  (strain B38)",,2010-Feb-24,1509,592205,B
ARTSS,"Arthromitus sp.  (strain SFB-mouse-Japan)",,2014-Nov-05,1509,1029718,B
HELPQ,"Helicobacter pylori  (strain F57)",,2014-Mar-04,1515,866346,B
THEVO,"Thermoplasma volcanium  (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1)",,2009-Sep-16,1522,273116,A
BIFA0,"Bifidobacterium animalis  subsp. lactis (strain AD011)",,2010-Feb-12,1525,442563,B
MYCHI,"Mycoplasma haemofelis  (strain Ohio2)",,2013-Jan-10,1527,859194,B
ELUMP,"Elusimicrobium minutum  (strain Pei191)",,2008-Sep-09,1528,445932,B
THEXX,"Thermoplasmatales archaeon  (strain BRNA1)",,2017-Aug-09,1528,1054217,A
CAMJC,"Campylobacter jejuni  subsp. jejuni serotype HS:41 (strain ICDCCJ07001)",,2012-Jan-02,1530,757425,B
LACSC,"Lactobacillus salivarius  (strain CECT 5713)",,2011-May-26,1532,712961,B
METST,"Methanosphaera stadtmanae  (strain ATCC 43021 / DSM 3091 / JCM 11832 / MCB-3)",,2014-Mar-24,1533,339860,A
BIFAR,"Bifidobacterium animalis  subsp. animalis (strain ATCC 25527 / DSM 20104 / JCM 1190 / R101-8)",,2012-Nov-13,1534,703613,B
PICTO,"Picrophilus torridus  (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828)",,2009-Sep-16,1535,263820,A
HELPH,"Helicobacter pylori  (strain HPAG1)",,2006-Sep-13,1539,357544,B
ACIB4,"Aciduliprofundum boonei  (strain DSM 19572 / T469)",,2010-Jul-19,1539,439481,A
CAMLR,"Campylobacter lari  (strain RM2100 / D67 / ATCC BAA-1060)",,2009-Jun-21,1545,306263,B
MYCHL,"Mycoplasma haemofelis  (strain Langford 1)",,2011-Oct-02,1545,941640,B
METFA,"Methanocaldococcus fervens  (strain DSM 4213 / JCM 15782 / AG86)",,2009-Nov-22,1546,573064,A
HELPV,"Helicobacter pylori  (strain v225d)",,2011-Mar-21,1547,637913,B
AQUAE,"Aquifex aeolicus  (strain VF5)",,2009-Sep-16,1552,224324,B
HELPY,"Helicobacter pylori  (strain ATCC 700392 / 26695)",,2010-Mar-21,1555,85962,B
TAYEM,"Taylorella equigenitalis  (strain MCE9)",,2011-May-26,1556,937774,B
BORBU,"Borrelia burgdorferi  (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680)",,2010-Mar-21,1556,224326,B
HELPR,"Helicobacter pylori  (strain Lithuania75)",,2012-Apr-01,1559,907237,B
HELPP,"Helicobacter pylori  (strain PeCan4)",,2011-May-30,1563,765963,B
HELPC,"Helicobacter pylori  (strain Cuz20)",,2012-Apr-01,1563,765964,B
HELPS,"Helicobacter pylori  (strain Shi470)",,2008-Sep-09,1564,512562,B
CALEA,"Caldisericum exile  (strain DSM 21853 / NBRC 104410 / AZM16c01)",,2014-May-21,1564,511051,B
BIFAS,"Bifidobacterium animalis  subsp. lactis (strain DSM 10140 / JCM 10602 / LMG 18314)",,2011-Apr-10,1565,555970,B
MAGIU,"Mageeibacillus indolicus  (strain UPII9-5)",,2012-Dec-17,1566,699246,B
BIFLB,"Bifidobacterium animalis  subsp. lactis (strain Bl-04 / DGCC2908 / RB 4825 / SD5219)",,2009-Dec-15,1566,580050,B
BIFAV,"Bifidobacterium animalis  subsp. lactis (strain V9)",,2010-Nov-29,1569,573236,B
STAMF,"Staphylothermus marinus  (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1)",,2007-Jul-08,1570,399550,A
HELP2,"Helicobacter pylori  (strain P12)",,2009-Dec-16,1573,570508,B
FRATW,"Francisella tularensis  subsp. tularensis (strain WY96-3418)",,2007-Jul-08,1573,418136,B
LACH4,"Lactobacillus helveticus  (strain DPC 4571)",,2008-Feb-07,1576,405566,B
HELPM,"Helicobacter pylori  (strain SJM180)",,2012-Dec-17,1578,765962,B
BARHE,"Bartonella henselae  (strain ATCC 49882 / DSM 28221 / Houston 1)",,2014-Mar-24,1580,283166,B
METOI,"Methanothermococcus okinawensis  (strain DSM 14208 / JCM 11175 / IH1)",,2012-Aug-19,1583,647113,A
THEAH,"Thermocrinis albus  (strain DSM 14484 / JCM 11386 / HI 11/12)",,2012-Jan-02,1592,638303,B
THEGP,"Thermodesulfobacterium geofontis  (strain OPF15)",,2014-Jun-18,1593,795359,B
HELAH,"Helicobacter acinonychis  (strain Sheeba)",,2007-Mar-07,1594,382638,B
HELP9,"Helicobacter pylori  (strain 908)",,2011-May-26,1595,869727,B
HELP7,"Helicobacter pylori  (strain India7)",,2012-Dec-17,1595,907238,B
FRANT,"Francisella noatunensis  subsp. orientalis (strain Toba 04)",,2014-Nov-05,1595,1163389,B
STAHD,"Staphylothermus hellenicus  (strain DSM 12710 / JCM 10830 / BK20S6-10-b1 / P8)",,2010-Oct-12,1599,591019,A
HELP4,"Helicobacter pylori  (strain Gambia94/24)",,2012-Nov-29,1599,907240,B
HYPBU,"Hyperthermus butylicus  (strain DSM 5456 / JCM 9403 / PLM1-5)",,2007-May-03,1602,415426,A
