EC,TT,%Match,MatchLen,NumMisMat,GapOpen,QueryStart,QueryEnd,DB_SeqStart,DB_SeqEnd,E-Val,BitScore
P27247,Q5SHI4,29.41,68,48,0,273,340,258,325,6.00E-05,41.5
P52647,Q5SLA4,50,28,14,0,729,756,258,285,0.001,39.1
P0AC86,Q5SJ42,34.33,67,44,0,610,676,542,608,8.00E-07,49
P77439,Q5SI74,38.96,77,47,0,537,613,677,753,8.00E-14,72.3
P77439,Q5SI74,40.63,32,19,0,282,313,405,436,0.009,35.5
P77439,Q5SKI0,38.78,49,30,0,369,417,522,570,2.00E-05,44.7
P77439,Q5SKI0,34.55,55,36,0,522,576,715,769,3.00E-05,43.8
P77439,Q5SKI0,51.52,33,16,0,458,490,652,684,4.00E-04,40.1
P39452,Q53VX0,38.24,68,42,0,626,693,469,536,2.00E-12,67.1
P39452,Q53VX0,44.23,52,29,0,171,222,79,130,9.00E-08,51.9
P39452,Q53VX0,26.87,67,49,0,223,289,130,196,0.001,38
P0A9T0,Q5SJQ6,34.26,108,71,0,38,145,24,131,7.00E-16,78
P0A9T0,Q5SJQ6,34.94,83,54,0,194,276,182,264,5.00E-15,75.3
P0A9T0,Q5SJQ6,28.77,73,52,0,337,409,447,519,8.00E-06,44.6
P0A9T0,Q5SJQ6,47.06,34,18,0,148,181,133,166,5.00E-04,38.6
P0A9T0,Q5SJQ6,31.82,44,30,0,271,314,255,298,0.009,34.5
P0A9T0,Q5SMG6,38.89,72,44,0,68,139,58,129,6.00E-11,61.5
P0A9T0,Q5SMG6,43.86,57,32,0,197,253,187,243,6.00E-11,61.5
P0A9T0,Q5SI06,40.68,59,35,0,195,253,167,225,9.00E-08,51
P30852,Q5SM22,49.48,97,49,0,187,283,169,265,2.00E-21,96.4
P30852,Q5SM22,39.19,74,45,0,110,183,97,170,2.00E-11,63
P0A9V8,Q53WI1,32.26,62,42,0,231,292,222,283,1.00E-06,46.6
P0A9V8,Q53WI1,33.33,78,52,0,81,158,72,149,3.00E-05,42
P0A9V8,Q53WI1,36.73,49,31,0,1,49,1,49,9.00E-05,40.6
P0A9V8,Q5SLQ6,33.33,60,40,0,92,151,87,146,2.00E-06,46.1
P0A9V8,Q5SLQ6,31.88,69,47,0,202,270,196,264,2.00E-05,42.9
P0A832,Q8RR57,50.82,61,30,0,12,72,2,62,9.00E-15,72.7
P0A832,Q8RR57,50,36,18,0,83,118,72,107,3.00E-06,44.7
P21507,Q5SM34,41.23,114,67,0,238,351,235,348,4.00E-22,98.9
P21507,Q5SM34,44.32,88,49,0,104,191,105,192,2.00E-19,89.7
P21507,Q5SM34,43.42,76,43,0,6,81,10,85,6.00E-16,78.3
P21507,Q5SM34,46.88,32,17,0,71,102,74,105,4.00E-04,39
P21507,Q56243,33.75,80,53,0,250,329,442,521,8.00E-07,48.1
P21507,Q5SIV7,35.71,56,36,0,294,349,330,385,9.00E-05,41.3
P21507,Q5SIU8,27.69,65,47,0,272,336,588,652,3.00E-04,39.5
P21507,Q5SJI8,31.91,47,32,0,298,344,538,584,0.004,35.8
P21507,Q53VU9,42.55,47,27,0,17,63,246,292,0.007,34.9
P00956,P56690,38.2,89,55,0,23,111,12,100,6.00E-18,86.2
P00956,P56690,43.24,74,42,0,556,629,545,618,2.00E-16,81.1
P00956,P56690,52.38,42,20,0,236,277,223,264,3.00E-10,60.4
P00956,P56690,39.22,51,31,0,373,423,356,406,4.00E-08,53.5
P00956,P56690,38.3,47,29,0,318,364,304,350,5.00E-05,43.4
P00956,Q5SJ45,32.39,71,48,0,45,115,30,100,5.00E-11,63.2
P00956,Q5SJ45,34.67,75,49,0,552,626,478,552,6.00E-10,59.5
P00956,Q5SJ45,33.33,63,42,0,139,201,127,189,5.00E-07,49.8
P00956,Q5SJ45,36.17,47,30,0,315,361,252,298,9.00E-06,45.7
P00956,Q5SJ45,34.55,55,36,0,371,425,309,363,0.003,37.4
P00956,Q5SLY2,36.96,46,29,0,58,103,42,87,8.00E-08,52.6
P00956,Q5SLY2,32.76,58,39,0,308,365,313,370,5.00E-05,43.4
P00956,P23395,43.18,44,25,0,586,629,281,324,4.00E-06,47.1
P00956,P23395,28.85,52,37,0,48,99,2,53,0.002,37.9
P00956,Q5SJV9,32.26,62,42,0,599,660,273,334,0.004,36.9
P0A8F8,Q56243,65.43,188,65,0,406,593,400,587,4.00E-80,292
P0A8F8,Q56243,60.62,193,76,0,13,205,10,202,1.00E-72,267
P0A8F8,Q56243,56.58,152,66,0,254,405,249,400,8.00E-57,214
P0A8F8,Q56243,48.78,41,21,0,212,252,208,248,3.00E-09,57
P0A8F8,Q56243,45,40,22,0,626,665,604,643,7.00E-05,42.3
P0A8F8,Q5SM34,36.11,72,46,0,447,518,246,317,7.00E-09,55.6
P0A8F8,Q5SIU8,29.31,58,41,0,470,527,588,645,4.00E-06,46.5
P0A8F8,Q5SI32,52.94,34,16,0,636,669,197,230,4.00E-05,43.2
P03018,Q5SIE7,46.58,161,86,0,177,337,177,337,5.00E-39,155
P03018,Q5SIE7,50.89,112,55,0,531,642,514,625,2.00E-29,124
P03018,Q5SIE7,48.39,93,48,0,351,443,348,440,3.00E-24,106
P03018,Q5SIE7,54.79,73,33,0,6,78,5,77,2.00E-18,87.2
P03018,Q5SIE7,37.5,56,35,0,83,138,81,136,3.00E-07,50.3
P03018,Q5SJL0,43.55,62,35,0,201,262,187,248,6.00E-10,59.1
P03018,Q5SJL0,36.23,69,44,0,329,397,320,388,2.00E-07,50.8
P03018,Q5SJL0,33.93,56,37,0,523,578,486,541,0.003,37
P0AED5,Q5SIL7,40,130,78,0,1,130,1,130,2.00E-28,118
P0AED5,Q5SIL7,36.99,73,46,0,141,213,142,214,6.00E-10,57.3
P0AED5,Q5SJH8,31.43,105,72,0,23,127,21,125,8.00E-14,70.1
P0AED5,Q5SHK8,30,70,49,0,49,118,44,113,1.00E-08,53.2
P0AED5,Q5SK38,25,84,63,0,33,116,31,114,1.00E-06,46.4
P0AED5,Q5SMC3,22.89,83,64,0,36,118,34,116,7.00E-05,40.4
P0AED5,Q5SJL3,24.64,69,52,0,36,104,35,103,5.00E-04,37.7
P60472,Q5SH15,52.86,70,33,0,175,244,193,262,1.00E-19,90
P60472,Q5SH15,36.11,72,46,0,19,90,31,102,2.00E-13,69.3
P60472,Q5SH15,34.15,82,54,0,103,184,117,198,3.00E-12,65.1
P43672,Q5SIG1,38.98,59,36,0,318,376,1,59,2.00E-09,57.3
P43672,Q5SIG1,45.83,48,26,0,437,484,111,158,7.00E-06,45.4
P43672,Q5SIG1,41.67,48,28,0,143,190,101,148,2.00E-05,44
P43672,Q5SKR4,39.58,48,29,0,335,382,19,66,5.00E-09,55.9
P43672,Q5SKR4,53.13,32,15,0,157,188,134,165,7.00E-06,45.4
P43672,Q5SKR4,25.37,67,50,0,1,67,1,67,2.00E-04,40.4
P43672,Q5SKR4,36.11,36,23,0,439,474,132,167,8.00E-04,38.6
P43672,Q5SIX4,53.85,39,18,0,341,379,44,82,9.00E-09,55
P43672,Q5SIX4,62.5,32,12,0,157,188,153,184,1.00E-05,45
P43672,Q5SIX4,31.03,58,40,0,3,60,22,79,4.00E-04,39.5
P43672,Q5SIX4,47.06,34,18,0,439,472,151,184,6.00E-04,39
P43672,Q53VW1,34.48,58,38,0,319,376,1,58,2.00E-08,53.7
P43672,Q5SKQ6,32.2,59,40,0,318,376,3,61,4.00E-07,49.5
P43672,Q5SKQ6,24,75,57,0,3,77,4,78,9.00E-05,41.8
P43672,Q5SJR7,43.18,44,25,0,333,376,16,59,4.00E-07,49.5
P43672,Q5SJR7,54.35,46,21,0,154,199,130,175,5.00E-06,45.9
P43672,Q5SKA0,45.1,51,28,0,154,204,133,183,8.00E-07,48.6
P43672,Q5SKA0,42,50,29,0,345,394,25,74,5.00E-06,45.9
P43672,Q5SKA0,57.58,33,14,0,441,473,136,168,7.00E-05,42.2
P43672,Q53VZ4,40.82,49,29,0,334,382,33,81,1.00E-06,48.2
P43672,Q53VZ4,42.22,45,26,0,156,200,154,198,1.00E-05,44.5
P43672,Q53VZ4,48.57,35,18,0,440,474,154,188,2.00E-04,40.4
P43672,Q5SL54,38.3,47,29,0,332,378,17,63,1.00E-06,48.2
P43672,Q5SL54,38.64,44,27,0,440,483,137,180,2.00E-04,40.8
P43672,Q5SL54,45.95,37,20,0,156,192,137,173,6.00E-04,39
P43672,Q5SHV0,31.03,58,40,0,319,376,6,63,1.00E-06,48.2
P43672,Q5SHV0,53.13,32,15,0,157,188,132,163,1.00E-04,41.3
P43672,Q5SHV0,27.87,61,44,0,3,63,6,66,0.001,38.1
P43672,Q5SHV0,46.88,32,17,0,441,472,132,163,0.004,36.3
P43672,Q5SJN3,31.67,60,41,0,322,381,6,65,1.00E-06,47.7
P43672,Q5SJN3,50,34,17,0,155,188,132,165,7.00E-05,42.2
P43672,Q5SJN3,43.75,32,18,0,441,472,134,165,0.003,36.7
P43672,Q5SIN4,41.67,48,28,0,156,203,136,183,2.00E-06,47.2
P43672,Q5SIN4,26.98,63,46,0,1,63,1,63,4.00E-04,39.5
P43672,Q5SIN4,31.03,58,40,0,319,376,3,60,8.00E-04,38.6
P43672,Q5SL46,30.16,63,44,0,1,63,1,63,2.00E-06,47.2
P43672,Q5SL46,35.71,56,36,0,321,376,5,60,7.00E-06,45.4
P43672,Q5SL40,40.43,47,28,0,321,367,5,51,2.00E-06,47.2
P43672,Q5SL40,57.14,35,15,0,154,188,132,166,5.00E-06,45.9
P43672,Q5SL40,36.73,49,31,0,1,49,1,49,2.00E-04,40.4
P43672,Q5SL40,43.59,39,22,0,434,472,128,166,3.00E-04,39.9
P43672,Q5SIF0,50,44,22,0,157,200,155,198,4.00E-06,46.3
P43672,Q5SIF0,51.52,33,16,0,342,374,47,79,1.00E-05,44.5
P43672,Q5SIF0,48.72,39,20,0,441,479,155,193,3.00E-04,39.9
P43672,Q5SIR0,50,38,19,0,339,376,21,58,5.00E-06,45.9
P43672,Q5SIR0,40.35,57,34,0,437,493,132,188,4.00E-05,43.1
P43672,Q5SIR0,40.91,44,26,0,20,63,18,61,7.00E-05,42.2
P43672,Q5SIR0,42.86,42,24,0,146,187,125,166,2.00E-04,40.8
P43672,Q5SIR0,37.5,48,30,0,436,483,384,431,0.002,37.6
P43672,Q5SH92,38.3,47,29,0,321,367,5,51,5.00E-06,45.9
P43672,Q5SH92,40.82,49,29,0,1,49,1,49,1.00E-04,41.3
P43672,Q5SH96,52.78,36,17,0,155,190,140,175,7.00E-06,45.4
P43672,Q5SH96,44.44,45,25,0,441,485,142,186,1.00E-05,44.5
P43672,Q5SH96,45.16,31,17,0,349,379,35,65,0.006,35.8
P43672,Q5SID8,35.59,59,38,0,319,377,4,62,7.00E-06,45.4
P43672,Q5SID8,56.25,32,14,0,157,188,138,169,2.00E-04,40.8
P43672,Q5SID8,53.13,32,15,0,441,472,138,169,8.00E-04,38.6
P43672,Q5SIB5,40.91,44,26,0,335,378,19,62,1.00E-05,45
P43672,Q5SIB5,47.83,46,24,0,438,483,132,177,3.00E-04,39.9
P43672,Q5SJ55,44.74,38,21,0,155,192,137,174,1.00E-05,45
P43672,Q5SJ55,27.45,51,37,0,13,63,14,64,7.00E-05,42.2
P43672,Q5SJ55,41.18,34,20,0,441,474,139,172,0.002,37.2
P43672,Q5SJ55,40,30,18,0,334,363,19,48,0.006,35.8
P43672,Q5SM72,42.11,38,22,0,345,382,27,64,1.00E-05,44.5
P43672,Q5SM72,59.38,32,13,0,157,188,119,150,1.00E-04,41.3
P43672,Q5SM72,42,50,29,0,434,483,112,161,2.00E-04,40.4
P43672,Q5SKC8,59.38,32,13,0,157,188,116,147,1.00E-05,44.5
P43672,Q5SKC8,56.25,32,14,0,441,472,116,147,3.00E-05,43.6
P43672,Q5SJK1,51.35,37,18,0,155,191,141,177,1.00E-05,44.5
P43672,Q5SJK1,48.65,37,19,0,441,477,143,179,4.00E-04,39.5
P43672,Q5SJK1,41.94,31,18,0,19,49,22,52,0.006,35.8
P43672,Q5SH42,45.65,46,25,0,438,483,129,174,2.00E-05,44
P43672,Q5SH42,37.04,54,34,0,322,375,6,59,7.00E-05,42.2
P43672,Q5SH42,29.17,48,34,0,1,48,1,48,0.003,36.7
P43672,Q5SH42,36.59,41,26,0,160,200,135,175,0.003,36.7
P43672,Q5SLN1,44.19,43,24,0,441,483,168,210,2.00E-05,44
P43672,Q5SLN1,50,32,16,0,332,363,37,68,2.00E-04,40.8
P43672,Q5SLN1,46.88,32,17,0,157,188,168,199,0.001,38.1
P43672,Q5SLN1,29.82,57,40,0,2,58,23,79,0.002,37.2
P43672,Q5SJ09,39.02,41,25,0,335,375,43,83,3.00E-05,43.6
P43672,Q5SJ09,38.1,63,39,0,424,486,143,205,7.00E-05,42.2
P43672,Q5SJ09,42.55,47,27,0,157,203,160,206,0.001,38.1
P43672,Q5SKE9,38.78,49,30,0,333,381,16,64,4.00E-05,43.1
P43672,Q5SKE9,42.11,38,22,0,13,50,12,49,3.00E-04,39.9
P43672,Q5SKE9,55.17,29,13,0,156,184,134,162,3.00E-04,39.9
P43672,Q5SJB5,51.22,41,20,0,20,60,21,61,5.00E-05,42.7
P43672,Q5SJB5,43.24,37,21,0,345,381,30,66,1.00E-04,41.3
P43672,Q5SJB5,23.81,63,48,0,419,481,374,436,6.00E-04,39
P43672,Q5SJB5,36.84,38,24,0,158,195,397,434,0.003,36.7
P43672,Q5SL41,40.91,44,26,0,333,376,31,74,7.00E-05,42.2
P43672,Q5SL41,59.26,27,11,0,158,184,156,182,3.00E-04,39.9
P43672,Q5SKQ5,42.11,38,22,0,339,376,22,59,7.00E-05,42.2
P43672,Q5SKQ5,45.16,31,17,0,19,49,18,48,0.003,36.7
P43672,Q5SIM7,40.82,49,29,0,156,204,474,522,7.00E-05,42.2
P43672,Q5SIM7,48.57,35,18,0,441,475,475,509,3.00E-04,39.9
P43672,Q5SH06,38.78,49,30,0,154,202,130,178,3.00E-04,39.9
P43672,Q5SH06,48.39,31,16,0,345,375,27,57,6.00E-04,39
P43672,Q5SH06,28.36,67,48,0,421,487,113,179,0.003,36.7
P43672,Q5SL21,37.5,56,35,0,432,487,154,209,6.00E-04,39
P43672,Q5SL21,42.42,33,19,0,157,189,163,195,0.002,37.2
P43672,Q5SIR9,50,32,16,0,157,188,139,170,0.002,37.6
P43672,Q5SIR9,26.67,60,44,0,318,377,2,61,0.002,37.2
P43672,Q5SIR9,38.64,44,27,0,19,62,19,62,0.002,37.2
P43672,Q5SM29,37.84,37,23,0,332,368,393,429,0.002,37.6
P43672,Q5SL20,35.71,42,27,0,335,376,34,75,0.006,35.8
P43672,Q5SIN5,37.78,45,28,0,439,483,58,102,0.008,35.4
P0A698,Q56242,71.09,256,74,0,670,925,672,927,7.00E-134,471
P0A698,Q56242,62.24,196,74,0,1,196,1,196,3.00E-83,303
P0A698,Q56242,67.52,157,51,0,452,608,456,612,2.00E-69,257
P0A698,Q56242,45.56,90,49,0,848,937,508,597,1.00E-23,105
P0A698,Q56242,52.78,72,34,0,509,580,855,926,2.00E-20,94.3
P0A698,Q56242,50.7,71,35,0,225,295,225,295,5.00E-18,86.4
P0A698,Q56242,40.54,74,44,0,374,447,376,449,5.00E-14,73.1
P0A698,Q56242,55.77,52,23,0,611,662,614,665,2.00E-12,67.6
P0A698,Q56242,57.45,47,20,0,615,661,6,52,8.00E-11,62.6
P0A698,Q56242,49.02,51,26,0,6,56,618,668,8.00E-11,62.6
P0A698,Q56242,48.89,45,23,0,463,507,808,852,2.00E-08,54.8
P0A698,Q56242,48.89,45,23,0,806,850,467,511,6.00E-08,52.9
P0A698,Q56242,42.86,42,24,0,762,803,407,448,4.00E-06,47
P0A698,Q56242,37.21,43,27,0,308,350,311,353,4.00E-04,40.1
P0A698,Q56242,25.49,51,38,0,405,455,764,814,8.00E-04,39.1
P0A698,Q56242,36.17,47,30,0,73,119,678,724,0.002,37.8
P0A698,Q5SL46,34.88,43,28,0,853,895,172,214,1.00E-04,41.9
P0A698,Q5SL46,33.33,39,26,0,509,547,172,210,0.001,38.7
P0A698,Q5SJP5,27.66,47,34,0,849,895,74,120,8.00E-04,39.1
P0A698,Q5SKE8,31.25,48,33,0,849,896,53,100,0.001,38.7
P0A698,Q5SL40,46.88,32,17,0,623,654,19,50,0.002,38.2
P0A698,Q5SIM7,64,25,9,0,823,847,468,492,0.002,37.8
P0A698,Q5SIN4,30.77,39,27,0,853,891,157,195,0.006,36.4
P0A698,Q5SJK1,28.17,71,51,0,493,563,147,217,0.006,36.4
P0A698,Q5SJ55,35,40,26,0,853,892,159,198,0.008,35.9
P0AAC0,Q5SJV7,25,72,54,0,229,300,66,137,2.00E-05,42.9
P0AAC0,Q5SLJ8,36.11,36,23,0,265,300,107,142,0.008,34.2
P0A8F0,Q5SIQ7,50.96,208,102,0,1,208,1,208,6.00E-71,259
P0A8F0,Q5SHU3,34.21,38,25,0,117,154,207,244,0.001,36.2
P0A8F0,Q5SIB2,34.04,47,31,0,124,170,121,167,0.009,33.4
P32716,Q5SJK2,27.18,103,75,0,179,281,202,304,6.00E-08,51.5
P32716,Q5SJK2,40,30,18,0,66,95,77,106,0.007,34.5
P38051,Q5SKM3,35.16,91,59,0,339,429,321,411,1.00E-11,64
P38051,P05378,29.51,61,43,0,230,290,252,312,2.00E-05,43.6
P38051,P05378,36,50,32,0,381,430,408,457,2.00E-04,40.4
P16384,Q5SKS1,42.28,149,86,0,15,163,7,155,3.00E-36,145
P16384,Q5SKS1,32.56,43,29,0,245,287,230,272,2.00E-04,39.8
P16384,Q5SKL3,31.71,41,28,0,3,43,42,82,0.006,34.7
P13669,Q5SI00,42.5,40,23,0,31,70,36,75,9.00E-05,40.2
P46022,Q5SJ31,38.16,76,47,0,129,204,140,215,3.00E-11,61.7
P68739,Q5SIM2,53.62,69,32,0,72,140,79,147,5.00E-22,97.4
P68739,Q5SIM2,41.38,58,34,0,148,205,157,214,4.00E-10,58
P42641,Q5SHE9,51.89,185,89,0,62,246,60,244,3.00E-63,235
P42641,Q5SHE9,59.26,54,22,0,3,56,2,55,7.00E-17,81.4
P42641,Q5SJ29,40,50,30,0,162,211,4,53,4.00E-09,55.3
P42641,Q5SJ29,40.54,37,22,0,213,249,75,111,2.00E-04,39.8
P33599,Q56220,45.08,244,134,0,210,453,24,267,2.00E-74,273
P33599,Q56220,37.06,143,90,0,454,596,267,409,2.00E-32,133
P33599,Q56219,53.03,66,31,0,109,174,90,155,2.00E-20,93.5
P0AFC3,Q56217,34.92,63,41,0,63,125,56,118,2.00E-09,54.8
P0AFC3,Q56217,34.09,44,29,0,18,61,12,55,0.008,32.9
P09546,Q5SI02,56.52,92,40,0,768,859,173,264,2.00E-28,121
P09546,Q5SI02,39.56,91,55,0,664,754,56,146,5.00E-16,80.4
P09546,Q5SI02,52.11,71,34,0,1036,1106,433,503,6.00E-16,79.9
P09546,Q5SI02,44.19,43,24,0,883,925,288,330,6.00E-04,40
P09546,Q5SJP9,47.12,104,55,0,768,871,162,265,2.00E-23,104
P09546,Q5SJP9,24,100,76,0,880,979,268,367,4.00E-05,44.2
P09546,Q5SJP9,27.38,84,61,0,671,754,53,136,5.00E-04,40.5
P09546,Q5SJL2,53.73,67,31,0,766,832,139,205,3.00E-18,87.7
P09546,Q5SJL2,26.8,97,71,0,883,979,251,347,7.00E-09,56.5
P09546,Q5SJL2,30.23,86,60,0,673,758,34,119,3.00E-06,47.8
P09546,Q5SJY7,35.8,81,52,0,756,836,136,216,2.00E-11,64.8
P09546,Q5SJY7,29.25,106,75,0,653,758,21,126,3.00E-09,57.9
P09546,Q53VT9,47.62,42,22,0,768,809,160,201,4.00E-07,50.6
P09546,Q5SI01,28.57,77,55,0,235,311,11,87,4.00E-07,50.6
P09546,Q5SJP0,30,70,49,0,914,983,288,357,8.00E-06,46.4
P09546,Q5SJP0,37.5,56,35,0,770,825,147,202,9.00E-04,39.6
P76079,Q5SJN8,38.32,107,66,0,64,170,65,171,3.00E-21,95.1
P76079,Q5SJN8,45,60,33,0,11,70,13,72,1.00E-11,63.3
P60240,Q5SJI8,50.94,53,26,0,557,609,539,591,4.00E-13,70.2
P60240,Q5SJI8,46.67,60,32,0,172,231,127,186,2.00E-10,61.4
P06999,Q5SJL6,33.93,56,37,0,207,262,193,248,0.003,35.5
P0A894,Q5SLH4,63.64,44,16,0,166,209,158,201,2.00E-13,69.6
P0A894,Q5SLH4,58.06,31,13,0,238,268,229,259,1.00E-07,50.1
P0A894,Q5SLH4,37.04,54,34,0,67,120,63,116,4.00E-07,48.3
P0A894,Q5SLH4,40,50,30,0,1,50,1,50,3.00E-06,45.5
P0A894,Q5SLH4,47.37,38,20,0,111,148,105,142,0.009,33.9
P0AAZ4,Q5SH46,50.96,157,77,0,239,395,215,371,2.00E-51,196
P0AAZ4,Q5SH46,51.16,86,42,0,14,99,5,90,7.00E-24,104
P0AAZ4,Q5SH46,44.14,111,62,0,70,180,57,167,2.00E-23,103
P0AAZ4,Q5SH46,50,32,16,0,194,225,178,209,5.00E-04,38.7
P0AAZ4,Q5SK78,48.57,35,18,0,48,82,351,385,5.00E-04,38.7
P0AAZ4,Q5SL87,68.18,22,7,0,50,71,38,59,5.00E-04,38.7
P0AAZ4,Q5SKM7,44.12,34,19,0,52,85,103,136,0.004,35.9
P0AAZ4,Q5SL90,48.39,31,16,0,53,83,201,231,0.007,35
P0AAZ4,Q5SGX8,30.91,55,38,0,78,132,87,141,0.009,34.6
P16678,Q5SL21,41.74,115,67,0,135,249,152,266,1.00E-27,116
P16678,Q5SL21,40.91,44,26,0,19,62,24,67,7.00E-04,37.4
P16678,Q5SL21,28.99,69,49,0,67,135,82,150,7.00E-04,37.4
P16678,Q5SL20,39.67,121,73,0,129,249,142,262,5.00E-26,111
P16678,Q5SL20,40.68,59,35,0,11,69,24,82,4.00E-09,54.9
P16678,Q5SIF0,39.39,99,60,0,143,241,152,250,6.00E-20,90.8
P16678,Q5SIF0,32.73,55,37,0,24,78,43,97,1.00E-05,43.4
P16678,Q5SHV0,39.22,102,62,0,140,241,126,227,2.00E-18,85.7
P16678,Q5SHV0,32.43,74,50,0,4,77,5,78,1.00E-09,56.3
P16678,Q5SJN3,36.36,99,63,0,139,237,127,225,1.00E-17,83.4
P16678,Q5SJN3,27.42,62,45,0,6,67,4,65,3.00E-04,38.8
P16678,Q5SIX4,36.84,95,60,0,143,237,150,244,2.00E-16,78.8
P16678,Q5SIX4,27.4,73,53,0,5,77,22,94,3.00E-05,42
P16678,Q53VZ4,34.74,95,62,0,143,237,152,246,1.00E-15,76.5
P16678,Q53VZ4,45,40,22,0,23,62,36,75,6.00E-07,47.5
P16678,Q5SID8,39.33,89,54,0,3,91,2,90,2.00E-15,76.1
P16678,Q5SID8,43.75,64,36,0,142,205,134,197,2.00E-11,62.2
P16678,Q5SIN5,28.71,101,72,0,137,237,51,151,5.00E-14,71
P16678,Q5SKR4,30,110,77,0,143,252,131,240,1.00E-13,70.1
P16678,Q5SKR4,32.73,55,37,0,23,77,21,75,0.002,36
P16678,Q5SKQ6,35.96,89,57,0,149,237,151,239,7.00E-13,67.3
P16678,Q5SKQ6,34.21,76,50,0,5,80,4,79,8.00E-10,57.2
P16678,Q5SH96,42.86,63,36,0,138,200,134,196,4.00E-11,61.3
P16678,Q5SH96,35.48,62,40,0,29,90,29,90,2.00E-06,45.7
P16678,Q5SKQ5,32.22,90,61,0,147,236,141,230,6.00E-11,60.9
P16678,Q5SKQ5,30.77,39,27,0,24,62,21,59,0.003,35.1
P16678,Q5SL41,30.77,91,63,0,147,237,156,246,4.00E-10,58.1
P16678,Q5SL41,41.03,39,23,0,24,62,36,74,2.00E-05,42.5
P16678,Q5SKA0,48.15,54,28,0,28,81,22,75,4.00E-10,58.1
P16678,Q5SKA0,44.68,47,26,0,145,191,135,181,8.00E-07,47.1
P16678,Q5SJ09,27.91,86,62,0,149,234,163,248,6.00E-10,57.6
P16678,Q5SJ09,39.22,51,31,0,11,61,33,83,3.00E-07,48.4
P16678,Q5SJ55,46.94,49,26,0,143,191,136,184,8.00E-10,57.2
P16678,Q5SJ55,32.84,67,45,0,3,69,2,68,2.00E-08,52.6
