,genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin,uniprot_id
60,Syntrophothermus lipocalidus,86170,TGB-C1,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophothermus,GCA_000092405.1,51.0,2.4,AB021305,56.6,45.0,55.0,,,60.0,15.0,UP000573962
61,Bacillus thermocopriae,1215031,SgZ-7 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_004116995.1,41.9,2.8,JX113681,55.5,40.0,50.0,,,60.0,20.0,UP000289034
62,Bacillus paralicheniformis,1648923,KJ-16 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_008365255.1,45.8,4.6,NR_137421,55.4,15.0,37.0,,,60.0,45.0,UP001076834
63,Tepidiforma bonchosmolovskayae,2601677,3753O,Bacteria,Chloroflexi,,,,,GCA_008838325.1,69.9,2.7,MN264258,59.2,42.0,52.0,50.0,54.0,60.0,18.0,UP000326331
64,Chloracidobacterium thermophilum,458033,B,Bacteria,Acidobacteria,Blastocatellia,,,Chloracidobacterium,GCA_000226295.1,61.3,3.7,NR_074296,54.8,44.0,51.0,,,58.0,14.0,UP000677303
65,Desulfotomaculum ferrireducens,1833852,GSS09,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,GCA_002005145.1,45.4,3.2,KU589293,55.2,30.0,50.0,,,55.0,25.0,UP000189464
66,Roseiflexus castenholzii,120962,HLO8,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,GCA_000017805.1,60.7,5.7,AB041226,63.6,45.0,50.0,,,55.0,10.0,UP000235650
67,Halomonas beimenensis,475662,NTU-107,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_002549795.1,68.4,4.1,EU159469,56.2,15.0,40.0,,,55.0,40.0,UP000219993
68,Bacillus siamensis,659243,PD-A10,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_002850535.1,46.0,4.3,GQ281299,55.1,4.0,37.0,,,55.0,51.0,UP001063889
69,Algibacter alginicilyticus,1736674,HZ22,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algibacter,GCA_001310225.1,31.8,4.0,JN620360,50.0,4.0,28.0,,,55.0,51.0,UP000057981
70,Clostridium isatidis,182773,Wv6,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_002285495.1,28.9,2.9,X98395,52.7,30.0,50.5,49.0,52.0,55.0,25.0,UP000264883
71,Limnochorda pilosa,1555112,HC45,Bacteria,Firmicutes,Limnochordia,Limnochordales,Limnochordaceae,Limnochorda,GCA_001544015.1,69.7,3.8,AB992259,63.6,30.0,47.5,45.0,50.0,55.0,25.0,UP000065807
72,Muricauda lutaonensis,516051,CC-HSB-11 ,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muricauda,GCA_000963865.1,45.0,3.3,EU564844,57.4,25.0,41.0,37.0,45.0,55.0,30.0,UP000032726
73,Hydrogenovibrio thermophilus,265883,I78,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,GCA_004028275.1,50.5,2.6,AB166731,52.2,15.0,37.5,35.0,40.0,55.0,40.0,UP000285478
74,Rummeliibacillus stabekisii,241244,KSC-SF6g ,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,GCA_001617605.1,37.7,3.4,DQ870754,53.3,28.0,30.0,28.0,32.0,55.0,27.0,UP000578509
75,Bacillus atrophaeus,1452,NRRL NRS-213 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_002243495.1,43.3,4.3,AB021181,55.4,5.0,29.0,28.0,30.0,55.0,50.0,UP001085217
76,Flexistipes sinusarabici,2352,MAS10,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Flexistipes,GCA_000218625.1,38.3,2.5,M59231,54.1,30.0,47.5,45.0,50.0,53.0,23.0,UP000323337
77,Acidithiobacillus caldus,33059,KU,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,GCA_000175575.2,61.4,3.0,Z29975,57.9,32.0,45.0,,,52.0,20.0,UP001073239
78,Petrimonas mucosa,1642646,ING2-E5A,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas,GCA_900095795.1,48.0,3.7,KP233808,52.9,20.0,45.0,,,50.0,30.0,UP000578217
79,Geoalkalibacter subterraneus,483547,Red1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geoalkalibacter,GCA_000827125.1,56.6,3.7,EU182247,57.4,30.0,40.0,,,50.0,20.0,UP000886162
80,Jeotgalibacillus malaysiensis,1508404,D5,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus,GCA_000818095.1,42.4,4.1,KJ460028,55.0,4.0,37.0,,,50.0,46.0,UP000031449
81,Halomonas alkaliphila,272774,18bAG,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_003612795.1,52.7,4.0,AJ640133,55.8,5.0,37.0,,,50.0,45.0,UP000480312
82,Virgibacillus dokdonensis,302167,DSW-10,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,GCA_002849835.1,36.6,4.3,AY822043,55.1,15.0,37.0,,,50.0,35.0,UP000256488
83,Halomonas olivaria,390919,C17,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_004295565.1,55.3,5.0,DQ645593,54.9,4.0,35.0,,,50.0,46.0,UP000289555
84,Croceicoccus naphthovorans,1348774,PQ-2 ,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,GCA_001028705.1,62.6,3.9,KF145127,53.8,15.0,32.0,,,50.0,35.0,UP000536420
85,Streptomyces leeuwenhoekii,1437453,C34,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,GCA_001013905.1,72.7,8.1,NR_126200,59.8,4.0,30.0,,,50.0,46.0,UP000037274
86,Brevundimonas naejangsanensis,588932,BIO-TAS2-2,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,GCA_000635915.2,67.5,3.0,FJ544245,55.1,4.0,30.0,,,50.0,46.0,UP000294474
87,Marinobacter hydrocarbonoclasticus,2743,17,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,GCA_000284615.1,57.4,4.0,X67022,54.6,13.0,30.0,,,50.0,37.0,UP000738323
88,Brevibacillus laterosporus,1465,ATCC 4517,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,GCA_000219535.3,41.1,5.2,AB112720,54.0,15.0,30.0,,,50.0,35.0,UP001084891
89,Microbacterium sediminis,904291,YLB-01,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,GCA_004564075.1,71.7,2.9,HQ219727,56.0,4.0,28.0,,,50.0,46.0,UP000295661
90,Clostridium perfringens,1502,ATCC 3626,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_000013285.1,28.4,3.3,M59103,51.2,20.0,41.0,37.0,45.0,50.0,30.0,UP001063124
91,Paracoccus kondratievae,135740,GB,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,GCA_009301415.1,62.9,4.2,AF250332,55.8,30.0,40.0,38.0,42.0,50.0,20.0,UP000326748
92,Kangiella profundi,1561924,FT102,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Kangiella,GCA_002838765.1,43.8,2.7,KM209197,52.5,10.0,39.5,37.0,42.0,50.0,40.0,UP000615336
93,Paenibacillus lentus,1338368,CMG1240,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_003931855.1,46.5,5.3,KC800716,54.3,30.0,38.0,35.0,41.0,50.0,20.0,UP000273145
94,Bacillus cytotoxicus,580165,NVH 391-98 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_000017425.1,35.9,4.1,AM747234,54.6,20.0,33.5,30.0,37.0,50.0,30.0,UP000672036
95,Bacillus safensis,561879,FO-36b,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_001895885.1,41.4,4.0,AF234854,55.2,10.0,33.5,30.0,37.0,50.0,40.0,UP001079784
96,Bacillus altitudinis,293387,Bi.FFUP1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_005849435.1,41.3,3.9,JX183147,55.0,20.0,33.5,30.0,37.0,50.0,30.0,UP001075961
97,Halobacillus mangrovi,402384,MS10,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,GCA_002097535.1,41.6,4.1,DQ888316,56.0,10.0,34.0,33.0,35.0,50.0,40.0,UP000192527
98,Egibacter rhizosphaerae,1670831,EGI 80759,Bacteria,Actinobacteria,Nitriliruptoria,Egibacterales,Egibacteraceae,Egibacter,GCA_004322855.1,71.7,4.6,KR605111,60.4,25.0,32.5,30.0,35.0,50.0,25.0,UP000291469
99,Bacillus vallismortis,72361,DV1-F-3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_004116955.1,43.8,4.3,AB021198,55.2,5.0,29.0,28.0,30.0,50.0,45.0,UP001083679
100,Salinivibrio kushneri,1908198,AL184,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,GCA_005280275.1,50.7,3.4,LT627515,54.2,17.0,37.0,,,49.0,32.0,UP000298548
101,Pantoea alhagi,1891675,LTYR-11Z,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,GCA_002101395.1,53.5,4.3,KX494924,56.3,7.0,37.0,,,48.0,41.0,UP001055528
102,Lactobacillus bombi,1303590,BTLCH M1/2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,GCA_003522965.1,34.7,1.8,KJ078643,52.3,20.0,37.0,,,47.0,27.0,UP000284822
103,Methylocaldum marinum,1432792,S8,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,GCA_003584645.1,58.7,6.1,AB894129,55.7,20.0,36.0,,,47.0,27.0,UP000266313
104,Sulfurifustis variabilis,1675686,skN76,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,GCA_002355415.1,67.5,4.0,LC062790,56.6,28.0,43.5,42.0,45.0,46.0,18.0,UP000218899
105,Geosporobacter ferrireducens,1424294,IRF9,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Geosporobacter,GCA_001750685.1,38.6,5.8,KF601937,55.5,25.0,40.0,,,45.0,20.0,UP000461201
106,Desulfitobacterium dehalogenans,36854,JW/IU-DC1 ,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,GCA_000243155.3,45.0,4.3,L28946,53.4,13.0,38.0,,,45.0,32.0,UP000553059
107,Virgibacillus halodenitrificans,1482,ATCC 49067,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,GCA_001878675.1,37.4,3.9,AY543169,55.4,10.0,38.0,,,45.0,35.0,UP000621631
108,Proteus columbae,1987580,08MAS2615,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,GCA_009914335.1,38.4,4.1,MF143629,53.6,10.0,37.0,,,45.0,35.0,UP000464700
109,Paraoceanicella profunda,2579971,D4M1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,GCA_005887635.2,70.1,5.5,MK909903,56.5,10.0,37.0,,,45.0,35.0,UP000305888
