,Cellular component,Molecular function,Ligand,Biological process,PTM,no_keywords,Technical term,Domain
19607,Cytoplasm,Sigma factor,,Transcription regulation,,,,
19676,,rRNA-binding,,,,,,
19695,,rRNA-binding,,,,,,
19700,,rRNA-binding,,,,,,
19705,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
19706,,Ribosomal protein,,,,,,
19709,,tRNA-binding,,,,,,
19711,,tRNA-binding,,,,,,
19838,,DNA-binding,,,,,,
20849,Cytoplasm,,,,,,,
21136,,Ribosomal protein,,,,,,
21457,,Multifunctional enzyme,Nucleotide-binding,,,,,
21467,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,Coiled coil
21507,,Topoisomerase,Zinc,,,,,Zinc-finger
21515,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
21516,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,,
21519,Cytoplasm,Transferase,Metal-binding,,,,,
21520,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
21577,,Lyase,Metal-binding,Leucine biosynthesis,,,,
21585,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,,Coiled coil
21593,,Topoisomerase,Nucleotide-binding,,,,,
21605,,Lyase,Zinc,Thiamine biosynthesis,,,,
21652,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,,
21663,Membrane,Translocase,Zinc,Transport,,,,
21668,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,Coiled coil
21672,Cytoplasm,Transferase,Nucleotide-binding,Nucleotide metabolism,Phosphoprotein,,,
21703,Cytoplasm,rRNA-binding,,Protein biosynthesis,Phosphoprotein,,,
21718,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
21735,,Oxidoreductase,Nucleotide-binding,DNA synthesis,,,,
21747,Cytoplasm,Hydrolase,Nucleotide-binding,,,,,
21790,,rRNA-binding,,,,,,
21824,Membrane,RNA-binding,,,,,,Transmembrane helix
21830,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
21833,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
21835,,rRNA-binding,,,,,,
21860,,rRNA-binding,,,,,,
21868,Cytoplasm,Repressor,Metal-binding,Transcription regulation,,,,
21870,,Rotamase,,,,,,
21878,,Ribosomal protein,,,,,,
21879,,rRNA-binding,,,,,,
21892,Cytoplasm,Protease,Nucleotide-binding,,,,,
21906,,Ribosomal protein,,,,,,
21909,,tRNA-binding,,,,,,
21911,,Sigma factor,,Transcription regulation,,,,
21924,Cytoplasm,,,Protein biosynthesis,Methylation,,,
21947,,Ribosomal protein,,,,,,
21948,Cytoplasm,DNA-binding,Nucleotide-binding,DNA replication,,,,
21962,,rRNA-binding,,,,,,
21979,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
21986,Cytoplasm,DNA-binding,,Two-component regulatory system,Phosphoprotein,,,
21997,,rRNA-binding,,,,,,
22022,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
22027,,Ribosomal protein,,,,,,
22034,,rRNA-binding,,,,,,
22039,Cytoplasm,Sigma factor,,Transcription regulation,,,,Coiled coil
22088,Cytoplasm,Initiation factor,,Protein biosynthesis,,,,
22089,,rRNA-binding,,,,,,
22097,Cytoplasm,,NAD,tRNA processing,,,,
22104,Cytoplasm,,,Transcription regulation,Disulfide bond,,,Redox-active center
22105,,Ribosomal protein,,,,,,
22108,Membrane,Oxidoreductase,Flavoprotein,Transport,,,,
22128,,rRNA-binding,,,,,,
22136,,tRNA-binding,,,,,,
22140,,Ribosomal protein,,,,,,
22148,,Ribosomal protein,,,,,,
22163,Cytoplasm,,,Protein biosynthesis,Methylation,,,Coiled coil
22218,,Sigma factor,,Transcription regulation,,,,
22227,,Ribosomal protein,,,,,,
22248,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
22268,,Sigma factor,,Transcription regulation,,,,
22289,,Oxidoreductase,,,,,,
22317,,tRNA-binding,,,,,,
22340,,rRNA-binding,,,,,,
22376,,Isomerase,Metal-binding,,,,,
22381,,,,Septation,,,,
22455,,DNA-binding,,Sporulation,,,,
22462,,Transferase,,,,,,
23109,,Ribosomal protein,,,,,,
23116,,DNA-binding,,Sporulation,,,,
23231,,DNA-binding,,,,,,
23249,,,,,,True,,
23460,,,,,,True,,
23606,,DNA-binding,,,,,,
23631,,,Metal-binding,Transport,,,,
23757,,Ribosomal protein,,,,,,
23827,,DNA-binding,,DNA condensation,,,,
23941,,Ribosomal protein,,,,,,
24008,,Ribosomal protein,,,,,,
24036,,,Zinc,,,,,
24111,,Ribosomal protein,,,,,,
24123,,Repressor,,Transcription regulation,,,,
24278,,Chaperone,Nucleotide-binding,,,,,Repeat
24304,Membrane,,Metal-binding,,,,,Transmembrane helix
24431,,Ribosomal protein,,,,,,
24438,,,,,,True,,
24514,,DNA-binding,,Transcription regulation,,,,
24520,,,,,,,,Coiled coil
24765,,,,,,True,,
24821,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,,
24838,Cytoplasm,,,Cell division,,,,Coiled coil
24981,,,,,,True,,
25493,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
25499,,tRNA-binding,,,,,Reference proteome,
25500,,rRNA-binding,,,,,Reference proteome,
25523,,Sigma factor,,Transcription regulation,,,Reference proteome,
25642,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,
25733,,rRNA-binding,,,,,Reference proteome,
25751,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
26268,,Ribosomal protein,,,,,Reference proteome,
27064,,Ribosomal protein,,,,,Reference proteome,
27918,,DNA-binding,,,,,Reference proteome,
28099,,DNA-binding,,,,,Reference proteome,
28214,,tRNA-binding,,,,,,
28233,,rRNA-binding,,,,,,
28262,Membrane,Translocase,Nucleotide-binding,Transport,,,,
28265,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
28271,,rRNA-binding,,,Methylation,,,
28310,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
28433,,Ribosomal protein,,,,,,
28459,,Isomerase,,,,,,
28491,,tRNA-binding,,,,,,
29113,,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
29420,,Ribosomal protein,,,,,,
29711,,,,,,True,,
30486,,,,,,True,,
30490,,,,,,True,,
30493,,,,,,True,,
30500,,,,,,True,,
30505,,,,,,True,,
30515,,,,,,True,,
30520,,,,,,True,,
30523,,,,,,True,,
30547,,,,,,True,,
30551,,,,,,True,,
30569,,,,,,True,,
30600,,,,,,True,,
30607,,,,,,True,,
30622,Membrane,Translocase,Zinc,Transport,,,,
30626,Cytoplasm,Transferase,Nucleotide-binding,Nucleotide metabolism,Phosphoprotein,,,
30690,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,,
30752,,,,,,True,,
30760,,,,,,True,,
30773,,,,,,True,,
30775,,,,,,True,,
30791,,,,,,True,,
30810,,,,,,True,,
30833,,,,,,True,,
30845,,,,,,True,,
30910,,,,,,True,,
30954,,,,,,True,,
31013,,,,,,True,,
31014,,,,,,True,,
31023,,,,,,True,,
31030,,,,,,True,,
31046,,,,,,True,,
31061,,,,,,True,,
31098,Membrane,RNA-binding,,,,,,Transmembrane helix
31107,Cytoplasm,Repressor,Metal-binding,Transcription regulation,,,,
31108,,Ribosomal protein,,,,,,
31114,,Rotamase,,,,,,
31124,Cytoplasm,,,Transcription regulation,Disulfide bond,,,Redox-active center
31136,,Ribosomal protein,,,,,,
31153,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
31156,,rRNA-binding,,,,,,
31164,,rRNA-binding,,,,,,
31167,Cytoplasm,rRNA-binding,,Protein biosynthesis,Phosphoprotein,,,
31168,,Ribosomal protein,,,,,,
31170,,Ribosomal protein,,,,,,
31178,,tRNA-binding,,,,,,
31185,,tRNA-binding,,,,,,
31195,,Ribosomal protein,,,,,,
31196,Cytoplasm,,,Protein biosynthesis,Methylation,,,
31199,Cytoplasm,DNA-binding,,Two-component regulatory system,,,,
31209,,rRNA-binding,,,,,,
31210,,rRNA-binding,,,,,,
31214,,Ribosomal protein,,,,,,
31224,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
31227,,rRNA-binding,,,,,,
31232,Cytoplasm,Hydrolase,Nucleotide-binding,DNA replication,,,,
31242,Membrane,Receptor,Nucleotide-binding,,,,,
31273,,Ribosomal protein,,,,,,
31299,,Ribosomal protein,,,,,,
31300,,rRNA-binding,,,,,,
31311,,rRNA-binding,,,,,,
31322,,Ribosomal protein,,,,,,
31422,,,,,,True,,
31595,,,,,,True,,
31859,,,,,,True,,
32037,,,,,,True,,
32115,,,,,,True,,
32710,,,,,,True,,
32741,,,Zinc,,,,,
32797,,Transferase,,,,,,
32803,,DNA-binding,,DNA condensation,,,,
32891,,,,,,True,,
32907,,,,,,True,,
32963,,,,Septation,,,,
32973,,Ribosomal protein,,,,,,
32986,,,,,,True,,
32988,,,,,,True,,
33025,,,Metal-binding,Transport,,,,
33060,,DNA-binding,,Sporulation,,,,
33088,,Hydrolase,Nucleotide-binding,,,,,
33104,,,,,,True,,
33105,,,,,,True,,
33182,,,,,,True,,
33183,,Ribosomal protein,,,,,,
33203,,,,,,True,,
33249,,tRNA-binding,,,,,,
34192,,Ribosomal protein,,,,,,
34655,,rRNA-binding,,,,,,
34674,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
35699,,Isomerase,Metal-binding,,,,,
37296,,Ribosomal protein,,,,,,
38033,,tRNA-binding,,,,,Reference proteome,
41126,,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
41159,,,,,,,Reference proteome,
42026,,Oxidoreductase,,,,,,
42148,,Lyase,Metal-binding,Leucine biosynthesis,,,,
42208,,rRNA-binding,,,,,,
42232,,Ribosomal protein,,,,,,
42243,,Ribosomal protein,,,,,,
42245,,rRNA-binding,,,,,,
42282,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
42417,,Ribosomal protein,,,,,,
42453,,tRNA-binding,,,,,,
42527,Cytoplasm,Sigma factor,,Transcription regulation,,,,Coiled coil
42659,Membrane,Translocase,Nucleotide-binding,Transport,,,,
42893,,Ribosomal protein,,,,,,
45416,,Ribosomal protein,,,,,,
45658,,,,,,True,,
46185,,Sigma factor,,Transcription regulation,,,,
46205,,Ribosomal protein,,,,,,
46206,,rRNA-binding,,,,,,
46266,Cytoplasm,Sigma factor,,Transcription regulation,,,,
46351,,rRNA-binding,,,,,,
46352,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
46370,,rRNA-binding,,,,,,
46411,,Ribosomal protein,,,,,,
46965,Cytoplasm,,,,,,,
47269,,Ribosomal protein,,,,,,
47580,,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
47904,,tRNA-binding,,,,,,
48055,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
49814,,rRNA-binding,,,,,,
49817,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
49853,,tRNA-binding,,,,,,
50700,,Ribosomal protein,,,,,,
50871,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,Coiled coil
50880,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
50982,Cytoplasm,Transferase,Nucleotide-binding,Nucleotide metabolism,Phosphoprotein,,Reference proteome,
51001,,Oxidoreductase,,,,,Reference proteome,
51007,Cytoplasm,Excision nuclease,Zinc,SOS response,,,Reference proteome,Zinc-finger
51035,Cytoplasm,Hydrolase,Nucleotide-binding,,,,Reference proteome,
51079,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
51082,,tRNA-binding,,,,,Reference proteome,
51085,,tRNA-binding,,,,,Reference proteome,
51088,,rRNA-binding,,,,,Reference proteome,
51091,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
51093,,rRNA-binding,,,,,Reference proteome,
51099,,rRNA-binding,,,,,Reference proteome,
51101,,rRNA-binding,,,,,Reference proteome,
51104,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
51105,,tRNA-binding,,,,,Reference proteome,
51109,,rRNA-binding,,,,,Reference proteome,
51111,,Ribosomal protein,,,,,Reference proteome,
51114,,Ribosomal protein,,,,,Reference proteome,
51177,,rRNA-binding,,,,,Reference proteome,
51216,Membrane,Oxidoreductase,Flavoprotein,Transport,,,Reference proteome,
51264,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
51272,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,Coiled coil
51285,,Sigma factor,,Transcription regulation,,,Reference proteome,
51292,Cytoplasm,,Nucleotide-binding,Septation,,,Reference proteome,
51301,Cytoplasm,RNA-binding,,Cell wall biogenesis/degradation,,,Reference proteome,
51303,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,Reference proteome,
51309,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
51312,,Ribosomal protein,,,,,Reference proteome,
51317,,Ribosomal protein,,,,,Reference proteome,
51352,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,
51409,Cytoplasm,Repressor,Metal-binding,Transcription regulation,,,Reference proteome,
51432,,Sigma factor,,Transcription regulation,,,Reference proteome,
51437,,RNA-binding,,Transcription regulation,,,Reference proteome,
51458,Membrane,RNA-binding,,,,,Reference proteome,Transmembrane helix
51465,,rRNA-binding,,,,,Reference proteome,
51482,Cytoplasm,Chaperone,Nucleotide-binding,,,,Reference proteome,
51495,Cytoplasm,Elongation factor,,Protein biosynthesis,,,Reference proteome,
51533,Cytoplasm,,,Protein biosynthesis,Methylation,,Reference proteome,Coiled coil
51552,,rRNA-binding,,,,,Reference proteome,
51573,,Ribosomal protein,,,,,Reference proteome,
51577,,Ribosomal protein,,,,,Reference proteome,
51637,,DNA-binding,,,,,Reference proteome,
51642,,,,Septation,,,Reference proteome,
51655,,,,,,,Reference proteome,
51670,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
51676,,DNA-binding,,,,,Reference proteome,
51680,,Ribosomal protein,,,,,Reference proteome,
51681,,Ribosomal protein,,,,,Reference proteome,
51927,,DNA-binding,,Sporulation,,,Reference proteome,
52103,,DNA-binding,,Transcription regulation,,,Reference proteome,
52135,,Ribosomal protein,,,,,Reference proteome,
52168,,,,,,,Reference proteome,
52202,Flagellum,,,,,,Reference proteome,
52260,,Ribosomal protein,,,,,Reference proteome,
52431,,Ribosomal protein,,,,,Reference proteome,
53012,,DNA-binding,,Sporulation,,,Reference proteome,
53289,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,Reference proteome,
53325,,DNA-binding,,DNA condensation,,,Reference proteome,
53631,Cytoplasm,,,,,,Reference proteome,
53650,,Transferase,,,,,Reference proteome,
53658,,DNA-binding,,DNA condensation,,,Reference proteome,
53663,,DNA-binding,,Transcription regulation,,,Reference proteome,
54050,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
54069,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,Coiled coil
54092,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,Reference proteome,
54167,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
54178,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,Reference proteome,
54195,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,Coiled coil
54207,,Topoisomerase,Zinc,,,,Reference proteome,Zinc-finger
54217,Cytoplasm,Hydrolase,Nucleotide-binding,Septation,,,Reference proteome,
54262,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
54277,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
54286,Cytoplasm,DNA-binding,Nucleotide-binding,DNA replication,,,Reference proteome,
54288,Cytoplasm,DNA-binding,,Two-component regulatory system,Phosphoprotein,,Reference proteome,
54289,,rRNA-binding,,,,,Reference proteome,
54290,Cytoplasm,,NAD,tRNA processing,,,Reference proteome,
54322,Cytoplasm,,,Protein biosynthesis,Methylation,,Reference proteome,
54422,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
54455,,rRNA-binding,,,,,Reference proteome,
54457,Cytoplasm,Initiation factor,,Protein biosynthesis,,,Reference proteome,
54467,Membrane,Oxidoreductase,Flavoprotein,Transport,,,Reference proteome,
54469,,rRNA-binding,,,,,Reference proteome,
54483,,Ribosomal protein,,,,,Reference proteome,
54517,,Ribosomal protein,,,,,Reference proteome,
54523,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,Coiled coil
54530,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
54543,,Oxidoreductase,Nucleotide-binding,DNA synthesis,,,Reference proteome,
54549,,Oxidoreductase,Pyridoxal phosphate,,,,Reference proteome,
54585,,RNA-binding,,Transcription regulation,,,Reference proteome,
54640,Membrane,RNA-binding,,,,,Reference proteome,Transmembrane helix
54658,,rRNA-binding,,,,,Reference proteome,
54677,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,Reference proteome,
54681,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
54820,Cytoplasm,Chaperone,,Stress response,,,Reference proteome,
54887,,Ribosomal protein,,,,,Reference proteome,
54891,,Ribosomal protein,,,,,Reference proteome,
54893,,rRNA-binding,,,,,Reference proteome,
54894,,rRNA-binding,,,,,Reference proteome,
54896,Cytoplasm,rRNA-binding,,Protein biosynthesis,Phosphoprotein,,Reference proteome,
54898,,rRNA-binding,,,,,Reference proteome,
54903,,Ribosomal protein,,,,,Reference proteome,
54905,,rRNA-binding,,,,,Reference proteome,
54906,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
54909,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
54910,,rRNA-binding,,,,,Reference proteome,
54914,,tRNA-binding,,,,,Reference proteome,
54926,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
54930,,rRNA-binding,,,,,Reference proteome,
55350,Cytoplasm,Activator,,Transcription regulation,,,Reference proteome,
55371,Cytoplasm,Activator,,Transcription regulation,,,Reference proteome,
55732,,,,,,,Reference proteome,
55749,Cytoplasm,Activator,,Transcription regulation,,,Reference proteome,
55898,,,Zinc,,,,Reference proteome,
55904,Cytoplasm,DNA-binding,,Two-component regulatory system,Phosphoprotein,,Reference proteome,
55925,,,Metal-binding,Transport,,,Reference proteome,
55940,,DNA-binding,,DNA condensation,,,Reference proteome,
55990,,DNA-binding,,,,,Reference proteome,
56040,,,Nucleotide-binding,,,,Reference proteome,Coiled coil
56162,,Ribosomal protein,,,,,Reference proteome,
56187,,Ribosomal protein,,,,,Reference proteome,
56201,Cytoplasm,,,Cell division,,,Reference proteome,Coiled coil
56754,,,,,,,Reference proteome,
57145,Cytoplasm,Activator,,Transcription regulation,,,Reference proteome,
57215,,Ribosomal protein,,,,,Reference proteome,
57232,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
57250,,DNA-binding,,,,,Reference proteome,
57369,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,
57753,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
57903,,Ribosomal protein,,,,,Reference proteome,
58042,,tRNA-binding,,,,,Reference proteome,
58049,,rRNA-binding,,,,,Reference proteome,
58074,,rRNA-binding,,,Methylation,,Reference proteome,
60942,,Ribosomal protein,,,,,Reference proteome,
62625,,tRNA-binding,,,,,,
62668,,rRNA-binding,,,,,,
63326,,Elongation factor,,Protein biosynthesis,,,,
63451,,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
63983,,Lyase,Metal-binding,Leucine biosynthesis,,,,
64232,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
64271,,tRNA-binding,,,,,,
64286,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
64378,,rRNA-binding,,,,,,
64390,,Ribosomal protein,,,,,,
66492,,Ribosomal protein,,,,,,
66859,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
66861,,tRNA-binding,,,,,Reference proteome,
66863,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
66869,,tRNA-binding,,,,,Reference proteome,
66874,,rRNA-binding,,,,,Reference proteome,
66875,,Ribosomal protein,,,,,Reference proteome,
66883,,rRNA-binding,,,,,Reference proteome,
66885,,rRNA-binding,,,,,Reference proteome,
66890,,tRNA-binding,,,,,Reference proteome,
66935,,Sigma factor,,Transcription regulation,,,Reference proteome,
67080,Membrane,Oxidoreductase,Flavoprotein,Transport,,,Reference proteome,
67239,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,
67249,,Ribosomal protein,,,,,Reference proteome,
67263,,Ribosomal protein,,,,,Reference proteome,
67339,,Oxidoreductase,,,,,Reference proteome,
67476,Cytoplasm,,,,,,Reference proteome,
67574,,DNA-binding,,,,,Reference proteome,Coiled coil
67582,,Ribosomal protein,,,,,Reference proteome,
69244,Cytoplasm,,,,,,Reference proteome,
69494,Membrane,Protease,Zinc,Cell division,,,,Transmembrane helix
69541,,Ligase,Nucleotide-binding,Pyrimidine biosynthesis,,,,Repeat
69546,Cytoplasm,Transferase,Metal-binding,,,,,
69580,,Peroxidase,Metal-binding,Hydrogen peroxide,,,,
69620,,Oxidoreductase,NAD,,,,,
69691,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,
69704,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
69718,Cytoplasm,Transferase,Zinc,Lipid metabolism,,,,Zinc-finger
69720,,Lyase,Metal-binding,Leucine biosynthesis,,,,
69722,,Topoisomerase,Zinc,,,,,Zinc-finger
69747,,Lyase,Zinc,Thiamine biosynthesis,,,,
69765,,Transferase,Nucleotide-binding,,,,,
69801,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
69818,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
69822,DNA-directed RNA polymerase,Transferase,,Transcription,,,,Coiled coil
69906,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,
69913,,rRNA-binding,,,,,,
69938,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,,
69940,,Oxidoreductase,Metal-binding,Deoxyribonucleotide synthesis,,,,
69982,,Ligase,Nucleotide-binding,Purine biosynthesis,,,,
69994,,rRNA-binding,,,,,,
70004,,Ribosomal protein,,,,,,
70034,,Lyase,Metal-binding,,,,,
70066,,,Ubiquinone,,,,,Repeat
70092,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
70098,,Ribosomal protein,,,,,,
70140,Cytoplasm,Chaperone,,Stress response,,,,
70145,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,,
70184,,Protease,Zinc,,,,,
70227,,rRNA-binding,,,,,,
70262,,Lyase,,Leucine biosynthesis,,,,
70316,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
70433,,,Metal-binding,Transport,,,,Repeat
70463,,Ribosomal protein,,,,,,
70485,,Ribosomal protein,,,,,,
70496,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
70498,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
70503,,Ribosomal protein,,,,,,
70518,,rRNA-binding,,,,,,
70522,,rRNA-binding,,,,,,
70524,,tRNA-binding,,,,,,
70525,,rRNA-binding,,,,,,
70526,,rRNA-binding,,,,,,
70535,,Ribosomal protein,,,,,,
70536,,Ribosomal protein,,,,,,
70540,,rRNA-binding,,,Methylation,,,
70541,,tRNA-binding,,,,,,
70542,,rRNA-binding,,,,,,
70545,,Ribosomal protein,,,,,,Coiled coil
70550,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
70555,,,,Transcription termination,,,,
70556,,rRNA-binding,,,,,,
70558,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
70562,,tRNA-binding,,,,,,
70569,Membrane,,Metal-binding,,,,,
70689,,,,,Phosphoprotein,,,
71115,,Transferase,,,,,,
71307,,,,,,True,,
71547,,Rotamase,,,,,,
71750,,,Metal-binding,Transport,,,,
71874,,DNA-binding,,,,,,
72839,,,,,,True,,
72865,Cytoplasm,DNA-binding,,Transcription regulation,,,,
72872,,,Biotin,,,,,
72965,,Ribosomal protein,,,,,,
73031,,Ribosomal protein,,,,,,
73248,,Ribosomal protein,,,,,,
73277,,Peroxidase,Metal-binding,Hydrogen peroxide,,,Reference proteome,
73282,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,Coiled coil
73293,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,Coiled coil
73317,Membrane,Protease,Zinc,,,,Reference proteome,Transmembrane helix
73333,Cytoplasm,Chaperone,Zinc,Stress response,,,Reference proteome,Zinc-finger
73339,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,,,Reference proteome,Glutamine amidotransferase
